bird_species	plant_species	int_str
Bird_sp1	Plant_sp35	0.8333
Bird_sp1	Plant_sp38	0.1667
Bird_sp2	Plant_sp2	0.0909
Bird_sp2	Plant_sp27	0.0909
Bird_sp2	Plant_sp32	0.4091
Bird_sp2	Plant_sp34	0.0909
Bird_sp2	Plant_sp35	0.1364
Bird_sp2	Plant_sp36	0.0455
Bird_sp2	Plant_sp38	0.1364
Bird_sp3	Plant_sp3	0.0127
Bird_sp3	Plant_sp4	0.0414
Bird_sp3	Plant_sp5	0.0732
Bird_sp3	Plant_sp7	0.0732
Bird_sp3	Plant_sp9	0.0064
Bird_sp3	Plant_sp11	0.0032
Bird_sp3	Plant_sp12	0.0127
Bird_sp3	Plant_sp13	0.0064
Bird_sp3	Plant_sp14	0.035
Bird_sp3	Plant_sp15	0.0064
Bird_sp3	Plant_sp16	0.0032
Bird_sp3	Plant_sp17	0.293
Bird_sp3	Plant_sp18	0.0318
Bird_sp3	Plant_sp19	0.0223
Bird_sp3	Plant_sp20	0.0096
Bird_sp3	Plant_sp21	0.0255
Bird_sp3	Plant_sp22	0.0318
Bird_sp3	Plant_sp23	0.0255
Bird_sp3	Plant_sp24	0.0191
Bird_sp3	Plant_sp25	0.0223
Bird_sp3	Plant_sp29	0.0446
Bird_sp3	Plant_sp30	0.0064
Bird_sp3	Plant_sp31	0.0573
Bird_sp3	Plant_sp35	0.0478
Bird_sp3	Plant_sp38	0.0732
Bird_sp3	Plant_sp39	0.0159
Bird_sp4	Plant_sp5	0.0078
Bird_sp4	Plant_sp6	0.0118
Bird_sp4	Plant_sp7	0.0196
Bird_sp4	Plant_sp10	0.0471
Bird_sp4	Plant_sp11	0.0196
Bird_sp4	Plant_sp12	0.0039
Bird_sp4	Plant_sp13	0.0157
Bird_sp4	Plant_sp14	0.0196
Bird_sp4	Plant_sp16	0.051
Bird_sp4	Plant_sp17	0.0196
Bird_sp4	Plant_sp21	0.0157
Bird_sp4	Plant_sp22	0.0118
Bird_sp4	Plant_sp23	0.0784
Bird_sp4	Plant_sp24	0.0078
Bird_sp4	Plant_sp25	0.0078
Bird_sp4	Plant_sp26	0.0118
Bird_sp4	Plant_sp31	0.0314
Bird_sp4	Plant_sp32	0.0314
Bird_sp4	Plant_sp33	0.0039
Bird_sp4	Plant_sp35	0.502
Bird_sp4	Plant_sp36	0.0039
Bird_sp4	Plant_sp38	0.0431
Bird_sp4	Plant_sp39	0.0353
Bird_sp5	Plant_sp1	0.0315
Bird_sp5	Plant_sp3	0.0157
Bird_sp5	Plant_sp5	0.063
Bird_sp5	Plant_sp7	0.0236
Bird_sp5	Plant_sp8	0.0157
Bird_sp5	Plant_sp12	0.0079
Bird_sp5	Plant_sp13	0.0394
Bird_sp5	Plant_sp14	0.0157
Bird_sp5	Plant_sp16	0.0394
Bird_sp5	Plant_sp17	0.063
Bird_sp5	Plant_sp21	0.0315
Bird_sp5	Plant_sp22	0.0394
Bird_sp5	Plant_sp26	0.0315
Bird_sp5	Plant_sp28	0.0157
Bird_sp5	Plant_sp31	0.0945
Bird_sp5	Plant_sp33	0.126
Bird_sp5	Plant_sp35	0.315
Bird_sp5	Plant_sp37	0.0079
Bird_sp5	Plant_sp38	0.0236

