"meanL" "meanD1" "meanH" "meanCrop"
"Plant_sp1" 3.1154660786973 3.12748019685512 1.51241232505353 -0.145524416403993
"Plant_sp2" -0.170748608857427 -0.156905397854794 0.204893972363872 -0.146503502891206
"Plant_sp3" 0.00614581913434036 0.149328770012185 2.0527152735081 -0.139796197760411
"Plant_sp4" -0.593522709322386 -0.675777688041585 1.66489864509351 8.40395364429257
"Plant_sp5" -0.593522709322386 -0.675777688041585 1.84740179560318 2.95766207014975
"Plant_sp6" 0.44876349635914 0.5282898786094 -0.0260836902791568 -0.140278707336724
"Plant_sp7" 0.886178854402003 0.9723357205391 -0.411046461350871 -0.146535013720679
"Plant_sp8" 3.83908687077633 1.73865596784095 2.00138690403187 -0.144714137931816
"Plant_sp9" 0.0186064638814931 0.0244080721643498 2.25802875141301 -0.110536141820699
"Plant_sp10" 0.249595665881837 0.442524996137399 2.25802875141301 -0.0565175770089248
"Plant_sp11" 0.167355410550629 0.204965719473826 0.872162775554842 -0.140583968497249
"Plant_sp12" 0.484868214514015 0.280967891945955 0.57749687206571 -0.140107554765173
"Plant_sp13" 2.75687987448611 2.87239003234231 1.90899583897466 -0.143997641690966
"Plant_sp14" 0.851522686198985 1.243382142256 1.34345986408557 -0.145828270831059
"Plant_sp15" 1.38304706369472 1.23267465386904 0.308474621966901 -0.143905775011966
"Plant_sp16" 0.271915795785174 0.451930789857706 1.36834385760765 -0.112786915354523
"Plant_sp17" 1.10503450357981 1.58308246010104 1.25012435703 -0.145417504661136
"Plant_sp18" -0.346023153032064 -0.326314660196674 0.518900405471647 -0.13223047261216
"Plant_sp19" -0.0473570742487468 0.0808848246367325 1.19723560512169 -0.139698664241362
"Plant_sp20" -0.0374664374806943 0.0795201447442772 0.718177667126157 -0.138445733640116
"Plant_sp21" 0.295855809505642 0.497847019470011 -0.180520488359233 -0.145087999177126
"Plant_sp22" -0.169471392770844 -0.0869708021352748 0.204893972363872 -0.146098363655118
"Plant_sp23" 0.87916974173173 1.27991357322327 0.00641743327319102 -0.144351341372833
"Plant_sp24" -0.0977448064450457 0.00939659334734101 0.60843761318598 -0.106984025768431
"Plant_sp25" -0.08341506498582 0.0265075796912042 0.204893972363872 -0.145580685742338
"Plant_sp26" 0.269065423299263 0.452917558395328 0.24244580747268 -0.130655037883668
"Plant_sp27" -0.0370770423323458 0.109858028507323 0.478638432454494 -0.14489795110382
"Plant_sp28" 2.04190365470042 2.30972201514534 -0.000419505541042551 -0.144522822181441
"Plant_sp29" 0.626841685601886 0.993330795807644 1.64208831769827 -0.140921584527323
"Plant_sp30" 1.07464610620269 1.37859042698542 0.179229787625757 -0.145600050888248
"Plant_sp31" -0.124799981352301 -0.103514921446887 0.6155209281737 -0.145360904326735
"Plant_sp32" 1.33133538799403 1.6254925121435 0.277225910629773 -0.143694887642321
"Plant_sp33" 0.670453942216921 0.549284953877944 0.718177667126157 -0.121452393459745
"Plant_sp34" 1.26389214830007 1.79114365601231 0.718177667126157 -0.146255917802485
"Plant_sp35" 0.524820156734573 0.308891342053118 0.146235911726438 -0.145201949811097
"Plant_sp36" 0.353081320506941 0.116849388571748 0.204893972363872 -0.141178239898019
"Plant_sp37" 2.69943630220174 2.25775920385569 1.19413537160533 -0.142631149335173
"Plant_sp38" -0.158879844735764 -0.0617137265872167 0.153565602887643 -0.131186988993534
"Plant_sp39" -0.310043041324661 -0.302380274390534 1.04481087912508 -0.143080280961831
"Plant_sp40" 1.03648538166453 1.48066848294108 0.655249086148301 -0.145552006531145
"Plant_sp41" 0.597979717206294 0.49007884162065 0.358879080792557 -0.143337204714764
"Plant_sp42" 1.41268782238701 1.43668380025348 1.132233358017 -0.144192183549322
"Plant_sp43" 0.0030306579475521 0.0443533936694664 0.4358716350069 -0.14497860382204
