"meanL" "meanD1" "meanH" "meanCrop"
"Plant_sp1" 0.137982024461975 0.311129516046004 -0.768075960013663 -0.147561503591763
"Plant_sp2" 4.72772980119552 5.15442468075095 1.98991678246396 -0.147500985416605
"Plant_sp3" -0.686538175159636 -0.649105077100023 -1.49171165329804 -0.147588997898903
"Plant_sp4" -0.723406677901915 -0.749364865502034 -1.34414554551085 -0.147563948079724
"Plant_sp5" -0.57205399889373 -0.528937986157179 -0.24801846816866 -0.147774805642296
"Plant_sp6" -0.653534236209012 -0.579584505856649 -1.12492013004241 -0.147879738932625
"Plant_sp7" -0.565227543144968 -0.485541444286161 -0.339353256888198 -0.144160096368001
"Plant_sp8" -0.421956597905461 -0.370041203679446 -0.933097891507529 -0.146858608139811
"Plant_sp9" -0.308502031700835 -0.190548284662928 -1.27563760317696 -0.147977291846124
"Plant_sp10" -0.443465575213027 -0.330295481997577 0.642584782171871 -0.1061471028084
"Plant_sp11" -0.478274857832745 -0.604968038681205 0.985124493841306 -0.14337729677153
"Plant_sp12" -0.276682849533053 -0.156054922215448 -1.27319872042988 -0.147306141948173
"Plant_sp13" -0.265343034611557 -0.121423792968377 -1.06940129357503 -0.14770088867596
"Plant_sp14" -0.482153525871814 -0.377222298108102 -1.11395885926899 -0.145309474265071
"Plant_sp15" 0.0643437487093207 0.259949149998121 -1.57142749499775 -0.14752681148788
"Plant_sp16" 0.36401669353151 0.603229572877836 -0.920136188817958 -0.146394723626518
"Plant_sp17" -0.688498665550293 -0.625357525020604 0.482742051118446 -0.140533254137802
"Plant_sp18" -0.77272923111146 -0.731024660306545 0.0260133011668882 -0.142470523679562
"Plant_sp19" -0.449008544447042 -0.340369679217635 -0.753031615877141 -0.146355447858892
"Plant_sp20" -0.49184314384578 -0.398180072495813 -0.741275652972646 -0.146896705727283
"Plant_sp21" -0.406300883275037 -0.29692147479677 -0.0712131705933642 -0.146484223929122
"Plant_sp22" -0.412760628591014 -0.504398274980115 -0.567265479444573 -0.147539618805049
"Plant_sp23" -0.646538529491272 -0.624513703373112 -0.0424946411669988 -0.13945310943614
"Plant_sp24" -0.837185641797082 -0.797290490909592 -1.30816517419709 -0.146620760597764
"Plant_sp25" -0.771290597875151 -0.726461135070108 -1.24023269857881 -0.144975437200856
"Plant_sp26" -0.394072500766408 -0.280096704396775 -1.06608550916607 -0.147177082070328
"Plant_sp27" 1.12213409632426 1.01060599926705 1.59191304068101 -0.147949955590148
"Plant_sp28" -0.432182177281189 -0.322494436970763 0.224439705342758 -0.147246809419569
"Plant_sp29" 0.0788429150517319 0.260637983996074 -1.34414554551085 -0.147549559840749
"Plant_sp30" -0.105640641133811 -0.397542901047706 0.300045070502436 -0.143215959259981
"Plant_sp31" 0.320011441597344 -0.497578818400383 0.945554306349253 -0.144935642030377
"Plant_sp32" 0.836664128648769 1.07440924832741 1.10145097992425 -0.146394492284736
"Plant_sp33" 1.43743454728204 0.79310666441349 1.19064832084297 -0.147668424313822
"Plant_sp34" 3.54939045092631 4.47673257271516 0.574076839837984 -0.147898499108292
"Plant_sp35" -0.341759847104926 -0.34334888625878 0.300045070502436 -0.137223545538756
"Plant_sp36" 0.514241032746512 0.729045102603891 0.208710281782898 -0.147808075061534
"Plant_sp37" 0.0671363896974505 0.0247123396972826 0.775983447484416 -0.145591826897472
"Plant_sp38" 0.0417487443508161 0.231362539083085 -1.03950442754052 -0.146942199153218
"Plant_sp39" 0.0840614865952069 0.274414663955127 -1.48850548159682 -0.147829568862812
